65624956, data, Perlin, 15.66408872009827, 46.53649705480763, 2025-01-18T19:32:50.080055200, 677aede09bddc8cdbff7c897 Andraz
57778540, data, Perlin, 15.66419977166171, 46.536505309024804, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
69777797, data, Perlin, 15.66611234399383, 46.535690903079214, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
91502899, data, Perlin, 15.664962115183577, 46.53563145842042, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
74485633, data, Perlin, 15.665966734477852, 46.534780345871944, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
96896657, data, Perlin, 15.662990528392827, 46.5363967249987, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
90278918, data, Perlin, 15.66297679672102, 46.53474247105663, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
84363834, data, Perlin, 15.664114922696347, 46.53594938123107, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
77295766, data, Perlin, 15.665761906037423, 46.53464672097122, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
66564951, data, Perlin, 15.664715801103267, 46.53422777388824, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
57555668, data, Perlin, 15.666024300411788, 46.53644214287582, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
61230434, data, Perlin, 15.665153606982148, 46.53571719131578, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
91796808, data, Perlin, 15.663648156950664, 46.535093753457986, 2025-01-18T19:32:50.085567200, 677aede09bddc8cdbff7c897 Andraz
72971442, data, Perlin, 15.66412830925188, 46.53347252444013, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
93409456, data, Perlin, 15.66278825880796, 46.53560681568753, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
58361804, data, Perlin, 15.662955349153567, 46.53639133687507, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
74870352, data, Perlin, 15.663677857971704, 46.534393462445735, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
55816449, data, Perlin, 15.66494335958201, 46.53589615157293, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
61967286, data, Perlin, 15.663792722584127, 46.533717682936214, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
68850468, data, Perlin, 15.665195505016213, 46.53322236394896, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
58057593, data, Perlin, 15.664370389005773, 46.5342507759754, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
80995396, data, Perlin, 15.66539774686188, 46.53478281484341, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
77419093, data, Perlin, 15.664061257336892, 46.53590177549366, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
97481808, data, Perlin, 15.662982603586617, 46.53568393571477, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
52535990, data, Perlin, 15.662322113637753, 46.535361453848175, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
66004900, data, Perlin, 15.665048682512783, 46.53626189193612, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
86074788, data, Perlin, 15.664729443982417, 46.53412122674962, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
84052503, data, Perlin, 15.664855438789704, 46.53424085871342, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
72829845, data, Perlin, 15.664773917155726, 46.535249652932194, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
98674494, data, Perlin, 15.664766312387064, 46.53551076878495, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
50718760, data, Perlin, 15.662398175021249, 46.53578768253001, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
76618666, data, Perlin, 15.662605180229622, 46.53423365657547, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
58548484, data, Perlin, 15.665306164788614, 46.53419451191962, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
54420229, data, Perlin, 15.665113024420961, 46.535242873028, 2025-01-18T19:32:50.086567900, 677aede09bddc8cdbff7c897 Andraz
94414270, data, Perlin, 15.66606061768771, 46.53569991448643, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
64752987, data, Perlin, 15.664856508762156, 46.53369186460916, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
91024882, data, Perlin, 15.665896005387355, 46.53448563125546, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
82571551, data, Perlin, 15.665268319642117, 46.534834611927174, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
96831700, data, Perlin, 15.663331447322593, 46.535136249989954, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
90317254, data, Perlin, 15.665194984266344, 46.534323132866554, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
79863846, data, Perlin, 15.662401507372124, 46.53386415040106, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
73343829, data, Perlin, 15.66594067305685, 46.53338331423324, 2025-01-18T19:32:50.087567400, 677aede09bddc8cdbff7c897 Andraz
